171009P1 cbrako-fix063 OK  
171009bd cbrako-fix064 OK  
171009BD cbrako-fix064 OK  
171009P2 cbrako-fix064 OK  
171009al cbrako-fix065 OK  
171009AL cbrako-fix065 OK  
171009P3 cbrako-fix065 OK  
171013ad cbrako-fix066 OK  
171013AD cbrako-fix066 OK  
171013 cbrako-fix066 OK  
171016md cbrako-fix067 #check OK  
171016 cbrako-fix067 OK  
171017bk cbrako-fix068 OK  
171017P1 cbrako-fix068 OK  
171017lz cbrako-fix069 171017P2 cbrako-fix069 AK
171017LZ cbrako-fix069 171017P2 cbrako-fix069 AK
171017P2 cbrako-fix069 OK  
171019ms cbrako-fix070 OK  
171019MS cbrako-fix070 OK  
171019P1 cbrako-fix070 OK  
171019mo cbrako-fix071 OK  
171019P2 cbrako-fix071 OK  
171025bk cbrako-fix073 OK  
171025BK cbrako-fix073 OK  
171025P1 cbrako-fix073 OK  
171025P2 cbrako-fix074 OK  
171025vf cbrako-fix074 OK  
171025VF cbrako-fix074 OK  
171026ee cbrako-fix075 OK  
171026EE cbrako-fix075 OK  
171026P1 cbrako-fix075 OK  
171026P2 cbrako-fix076 OK  
171027bf cbrako-fix076 OK  
171027BF cbrako-fix076 OK  
171102bs cbrako-fix077 OK  
171102 cbrako-fix077 OK  
171122em cbrako-fix078 #171122P1_(E.M.W.) OK  
171122P1 cbrako-fix078 OK  
171122P2 cbrako-fix079 OK  
171122ok cbrako-fix079 #problem 171122P2_(A.K.L.) 171122P2  AK
171124bh cbrako-fix080 OK  
171124 cbrako-fix080 OK  
171128mp cbrako-fix081 171128_(K.P.) 171128 171128  AK
171128 cbrako-fix081 OK  
171129dm cbrako-fix082 171129P1  AK
171129P1 cbrako-fix082 OK  
171129bk cbrako-fix083 171129P2  AK
171129P2 cbrako-fix083 OK  
171130 cbrako-fix084 OK  
171130eb cbrako-fix084 OK  
171204 cbrako-fix085 OK  
171204mm cbrako-fix085 OK  
171207al cbrako-fix086 OK  
171207 cbrako-fix086 OK  
171211tk cbrako-fix087 171211P1  AK
171211P1 cbrako-fix087 OK  
171211lk cbrako-fix088 171211P2  AK
171211P2 cbrako-fix088 OK  
171211ks cbrako-fix089 OK  
171211KS cbrako-fix089 OK  
171211P3 cbrako-fix089 OK  
171213am cbrako-fix090 171213P1  AK
171213P1 cbrako-fix090 OK  
171213ag cbrako-fix091 171213P2  AK
171213P2 cbrako-fix091 OK  
180109 cbrako-fix092 OK  
180109mb cbrako-fix092 OK  
180109MB cbrako-fix092 OK  
180110 cbrako-fix093 OK  
180110ds cbrako-fix093 OK  
180110DS cbrako-fix093 OK  
180111 cbrako-fix094 OK  
180111jb cbrako-fix094 OK  
180116 cbrako-fix095 OK  
180116js cbrako-fix095 OK  
180116JS cbrako-fix095 OK  
180117jw cbrako-fix096 OK  
180117P1 cbrako-fix096 OK  
180117mh cbrako-fix097 OK  
180117P2 cbrako-fix097 OK  
180117mm cbrako-fix098 180117P2_(M.H.) 180117P1_(J.W.) 180118 cbrako-fix098 AK
180118 cbrako-fix098 OK  
