ENSG00000005102 4222
ENSG00000006210 6376
ENSG00000017427 3479
ENSG00000020426 4331
ENSG00000049283 55040
ENSG00000053747 3909
ENSG00000054598 2296
ENSG00000062038 1001
ENSG00000064270 9914
ENSG00000065559 6416
ENSG00000065618 1308
ENSG00000066279 259266
ENSG00000073111 4171
ENSG00000074410 771
ENSG00000075275 9620
ENSG00000078596 9452
ENSG00000080608 9933
ENSG00000080986 10403
ENSG00000084207 2950
ENSG00000089289 3476
ENSG00000089685 332
ENSG00000091831 2099
ENSG00000094755 2568
ENSG00000099622 1153
ENSG00000100526 1033
ENSG00000101773 5932
ENSG00000103089 79152
ENSG00000104332 6422
ENSG00000104341 55353
ENSG00000105707 3249
ENSG00000105894 5764
ENSG00000105974 857
ENSG00000106004 3202
ENSG00000106105 2617
ENSG00000106537 27075
ENSG00000107485 2625
ENSG00000108176 56521
ENSG00000109846 1410
ENSG00000110799 7450
ENSG00000111057 3875
ENSG00000111602 8914
ENSG00000111716 3945
ENSG00000112320 55084
ENSG00000112742 7272
ENSG00000113739 8614
ENSG00000114904 6787
ENSG00000115112 29842
ENSG00000115163 1058
ENSG00000115648 79083
ENSG00000115884 6382
ENSG00000115919 8942
ENSG00000117399 991
ENSG00000117650 4751
ENSG00000117724 1063
ENSG00000118849 5918
ENSG00000119866 53335
ENSG00000120915 2053
ENSG00000123975 1164
ENSG00000124664 25803
ENSG00000128422 3872
ENSG00000129514 3169
ENSG00000129596 1036
ENSG00000129691 9070
ENSG00000129757 1028
ENSG00000129946 25759
ENSG00000130005 2593
ENSG00000130159 51295
ENSG00000130176 1264
ENSG00000131747 7153
ENSG00000131748 10948
ENSG00000131781 2330
ENSG00000132646 5111
ENSG00000134690 55143
ENSG00000136068 2317
ENSG00000137501 54843
ENSG00000137673 4316
ENSG00000137699 23650
ENSG00000138180 55165
ENSG00000138613 83464
ENSG00000138772 306
ENSG00000141424 25800
ENSG00000141736 2064
ENSG00000141738 2886
ENSG00000142230 10055
ENSG00000142945 11004
ENSG00000143476 51514
ENSG00000143546 6279
ENSG00000143771 29097
ENSG00000143799 142
ENSG00000143815 3930
ENSG00000145555 4651
ENSG00000146072 27242
ENSG00000146476 79624
ENSG00000147862 4781
ENSG00000148180 2934
ENSG00000149292 54970
ENSG00000151725 79682
ENSG00000151892 2674
ENSG00000153310 51571
ENSG00000154153 54463
ENSG00000156298 7102
ENSG00000157404 3815
ENSG00000157456 9133
ENSG00000160180 7033
ENSG00000160213 1476
ENSG00000160867 2264
ENSG00000161800 29127
ENSG00000162407 8613
ENSG00000163017 72
ENSG00000163362 55765
ENSG00000163879 7802
ENSG00000163918 5984
ENSG00000164109 4085
ENSG00000164128 4886
ENSG00000164611 9232
ENSG00000164961 9897
ENSG00000165140 2203
ENSG00000165304 9833
ENSG00000165795 57447
ENSG00000166482 4239
ENSG00000167779 3489
ENSG00000167900 7083
ENSG00000168078 55872
ENSG00000169047 3667
ENSG00000169083 367
ENSG00000170035 10477
ENSG00000171428 9
ENSG00000171791 596
ENSG00000171848 6241
ENSG00000172201 3400
ENSG00000172465 9338
ENSG00000175063 11065
ENSG00000175183 1466
ENSG00000175356 57758
ENSG00000176890 7298
ENSG00000181019 1728
ENSG00000181751 90355
ENSG00000182463 128553
ENSG00000183044 18
ENSG00000183943 5613
ENSG00000186081 3852
ENSG00000186260 57496
ENSG00000186847 3861
ENSG00000186868 4137
ENSG00000187522 51182
ENSG00000196136 12
ENSG00000196177 36
ENSG00000197170 5718
ENSG00000197892 23303
ENSG00000198901 9055
ENSG00000254087 4067
ENSG00000273707 1028 #problem no canonical gencode 31
ENSG00000276155 4137 #problem no canonical gencode 31
ENSG00000277956 4137 #problem no canonical gencode 31
ENSG00000284024 51182
